keep_ratio,dataset,performance
0.5,textvqa_val,46.2
0.5,gqa,62.0
0.5,docvqa_val,27.9
0.5,chartqa,18.1
0.5,mme,1870.4
0.5,scienceqa,65.7
0.5,coco2017_cap_val,111.3
0.5,nocaps_val,105.3
0.5,textcaps_val,99.8
0.2,textvqa_val,45.8
0.2,gqa,61.8
0.2,docvqa_val,27.2
0.2,chartqa,18.0
0.2,mme,1870.4
0.2,scienceqa,65.6
0.2,coco2017_cap_val,111.2
0.2,nocaps_val,103.8
0.2,textcaps_val,101.4
