keep_ratio,dataset,performance
0.5,textvqa_val,46.2
0.5,gqa,61.9
0.5,docvqa_val,28.1
0.5,chartqa,18.2
0.5,mme,1872.0
0.5,scienceqa,65.9
0.5,coco2017_cap_val,55.9
0.5,nocaps_val,59.4
0.5,textcaps_val,47.6
0.2,textvqa_val,45.8
0.2,gqa,61.9
0.2,docvqa_val,26.5
0.2,chartqa,18.0
0.2,mme,1872.0
0.2,scienceqa,65.9
0.2,coco2017_cap_val,56.0
0.2,nocaps_val,58.7
0.2,textcaps_val,47.1
