sample_id,layer,spearman,overlap_at_k,n_img,k_overlap
chartqa_train_0001,0,0.5704295072641525,0.5370370370370371,1620,324
chartqa_train_0001,1,0.6058640742877506,0.5462962962962963,1620,324
chartqa_train_0001,2,0.6486683762455778,0.5493827160493827,1620,324
chartqa_train_0001,3,0.47651615021926,0.4691358024691358,1620,324
chartqa_train_0001,4,0.6352996847614988,0.5524691358024691,1620,324
chartqa_train_0001,5,0.7675463747649451,0.6666666666666666,1620,324
chartqa_train_0001,6,0.6664027237598479,0.6172839506172839,1620,324
chartqa_train_0001,7,0.7028893548643855,0.6172839506172839,1620,324
chartqa_train_0001,8,0.4554645576245944,0.4228395061728395,1620,324
chartqa_train_0001,9,0.6797240755822467,0.5339506172839507,1620,324
chartqa_train_0001,10,0.548948721455847,0.5,1620,324
chartqa_train_0001,11,0.41456864794152887,0.37037037037037035,1620,324
chartqa_train_0001,12,0.4876515999688777,0.46296296296296297,1620,324
chartqa_train_0001,13,0.23621808201421832,0.26851851851851855,1620,324
chartqa_train_0001,14,0.3002655357016988,0.32407407407407407,1620,324
chartqa_train_0001,15,0.32455448590552716,0.3117283950617284,1620,324
chartqa_train_0001,16,0.26628130946501005,0.3148148148148148,1620,324
chartqa_train_0001,17,0.31489157484075264,0.35185185185185186,1620,324
chartqa_train_0001,18,0.4794534788989398,0.42901234567901236,1620,324
chartqa_train_0001,19,0.45854665140884854,0.36419753086419754,1620,324
chartqa_train_0001,20,0.6389611910506802,0.5370370370370371,1620,324
chartqa_train_0001,21,0.5299803258553704,0.4845679012345679,1620,324
chartqa_train_0001,22,0.6875497658557449,0.5895061728395061,1620,324
chartqa_train_0001,23,0.5849335679260188,0.4876543209876543,1620,324
chartqa_train_0001,24,0.6378308411786404,0.5679012345679012,1620,324
chartqa_train_0001,25,0.6230695272758058,0.4876543209876543,1620,324
chartqa_train_0001,26,0.7315896719124626,0.6203703703703703,1620,324
chartqa_train_0001,27,0.399570137849928,0.42592592592592593,1620,324
chartqa_train_0002,0,0.5522137541987884,0.5052631578947369,1429,285
chartqa_train_0002,1,0.5317464092781259,0.49473684210526314,1429,285
chartqa_train_0002,2,0.6718728111634823,0.5543859649122806,1429,285
chartqa_train_0002,3,0.6057956853307416,0.5403508771929825,1429,285
chartqa_train_0002,4,0.7092089054809366,0.5894736842105263,1429,285
chartqa_train_0002,5,0.7964738720621641,0.6701754385964912,1429,285
chartqa_train_0002,6,0.6454230647355412,0.5649122807017544,1429,285
chartqa_train_0002,7,0.7271965188651537,0.6456140350877193,1429,285
chartqa_train_0002,8,0.6387763534397362,0.5052631578947369,1429,285
chartqa_train_0002,9,0.703052282990706,0.6175438596491228,1429,285
chartqa_train_0002,10,0.48812343256827967,0.4280701754385965,1429,285
chartqa_train_0002,11,0.5767750707074842,0.519298245614035,1429,285
chartqa_train_0002,12,0.5807646693933788,0.45263157894736844,1429,285
chartqa_train_0002,13,0.4084927497198492,0.35789473684210527,1429,285
chartqa_train_0002,14,0.3466073157509344,0.3087719298245614,1429,285
chartqa_train_0002,15,0.5623311741149585,0.43157894736842106,1429,285
chartqa_train_0002,16,0.40369512392497214,0.25263157894736843,1429,285
chartqa_train_0002,17,0.46612442405380194,0.3684210526315789,1429,285
chartqa_train_0002,18,0.40211008724364716,0.3263157894736842,1429,285
chartqa_train_0002,19,0.3843873556451207,0.3017543859649123,1429,285
chartqa_train_0002,20,0.5203345578164134,0.41403508771929826,1429,285
chartqa_train_0002,21,0.5201271214908855,0.39649122807017545,1429,285
chartqa_train_0002,22,0.41849261153063333,0.37543859649122807,1429,285
chartqa_train_0002,23,0.4308227416386564,0.3368421052631579,1429,285
chartqa_train_0002,24,0.5846927005812087,0.4982456140350877,1429,285
chartqa_train_0002,25,0.5603427891170722,0.41754385964912283,1429,285
chartqa_train_0002,26,0.6560379783620979,0.5263157894736842,1429,285
chartqa_train_0002,27,,0.21052631578947367,1429,285
chartqa_train_0003,0,0.5503246573333853,0.5263157894736842,1429,285
chartqa_train_0003,1,0.5387393715218397,0.5087719298245614,1429,285
chartqa_train_0003,2,0.6655366851924582,0.5473684210526316,1429,285
chartqa_train_0003,3,0.6260073182568648,0.5298245614035088,1429,285
chartqa_train_0003,4,0.705209979808577,0.6140350877192983,1429,285
chartqa_train_0003,5,0.8037446252769261,0.6736842105263158,1429,285
chartqa_train_0003,6,0.7033938975043191,0.5929824561403508,1429,285
chartqa_train_0003,7,0.7193444404784035,0.5824561403508772,1429,285
chartqa_train_0003,8,0.558837453026678,0.43157894736842106,1429,285
chartqa_train_0003,9,0.7363162527259804,0.5578947368421052,1429,285
chartqa_train_0003,10,0.5875623087436556,0.48771929824561405,1429,285
chartqa_train_0003,11,0.5767831256034578,0.4982456140350877,1429,285
chartqa_train_0003,12,0.6812418363378414,0.5052631578947369,1429,285
chartqa_train_0003,13,0.49929731886598816,0.34035087719298246,1429,285
chartqa_train_0003,14,0.5742058651657163,0.4982456140350877,1429,285
chartqa_train_0003,15,0.5498107647755607,0.4421052631578947,1429,285
chartqa_train_0003,16,0.5858679749693,0.4280701754385965,1429,285
chartqa_train_0003,17,0.6188899295567939,0.45263157894736844,1429,285
chartqa_train_0003,18,0.5838881144735809,0.44912280701754387,1429,285
chartqa_train_0003,19,0.5894700396514791,0.43508771929824563,1429,285
chartqa_train_0003,20,0.5978001305848786,0.45263157894736844,1429,285
chartqa_train_0003,21,0.6116859854907162,0.49473684210526314,1429,285
chartqa_train_0003,22,0.6265767627795342,0.5473684210526316,1429,285
chartqa_train_0003,23,0.6358409808234798,0.512280701754386,1429,285
chartqa_train_0003,24,0.6659726220570698,0.5263157894736842,1429,285
chartqa_train_0003,25,0.6701823231106488,0.5298245614035088,1429,285
chartqa_train_0003,26,0.7955526874268767,0.6491228070175439,1429,285
chartqa_train_0003,27,,0.22456140350877193,1429,285
chartqa_train_0004,0,0.5758100117200897,0.5432098765432098,1620,324
chartqa_train_0004,1,0.6341155734880719,0.5555555555555556,1620,324
chartqa_train_0004,2,0.6837740398601817,0.5432098765432098,1620,324
chartqa_train_0004,3,0.5760539196722348,0.5030864197530864,1620,324
chartqa_train_0004,4,0.7213277880957695,0.6234567901234568,1620,324
chartqa_train_0004,5,0.8099605564214527,0.7191358024691358,1620,324
chartqa_train_0004,6,0.6780253655432346,0.6512345679012346,1620,324
chartqa_train_0004,7,0.791252873485682,0.7469135802469136,1620,324
chartqa_train_0004,8,0.6690025453402005,0.5802469135802469,1620,324
chartqa_train_0004,9,0.7384723342604482,0.6697530864197531,1620,324
chartqa_train_0004,10,0.5991951214049678,0.5339506172839507,1620,324
chartqa_train_0004,11,0.6827858471290664,0.6049382716049383,1620,324
chartqa_train_0004,12,0.6752880824648412,0.5493827160493827,1620,324
chartqa_train_0004,13,0.6636090767300369,0.5524691358024691,1620,324
chartqa_train_0004,14,0.5197123284682353,0.38580246913580246,1620,324
chartqa_train_0004,15,0.6163600733089434,0.4783950617283951,1620,324
chartqa_train_0004,16,0.49330147886670456,0.37962962962962965,1620,324
chartqa_train_0004,17,0.5908148492746098,0.42592592592592593,1620,324
chartqa_train_0004,18,0.5949773220835376,0.47530864197530864,1620,324
chartqa_train_0004,19,0.6084924816907996,0.46296296296296297,1620,324
chartqa_train_0004,20,0.6123554769138028,0.4660493827160494,1620,324
chartqa_train_0004,21,0.6435001268530561,0.4691358024691358,1620,324
chartqa_train_0004,22,0.5985728625236206,0.5,1620,324
chartqa_train_0004,23,0.5847693393933443,0.5123456790123457,1620,324
chartqa_train_0004,24,0.6824515416773121,0.5925925925925926,1620,324
chartqa_train_0004,25,0.5921241717787641,0.4351851851851852,1620,324
chartqa_train_0004,26,0.5627221535020758,0.5092592592592593,1620,324
chartqa_train_0004,27,,0.18209876543209877,1620,324
chartqa_train_0005,0,0.6179716924342089,0.5679012345679012,1620,324
chartqa_train_0005,1,0.6397854648739704,0.5401234567901234,1620,324
chartqa_train_0005,2,0.6830141346551838,0.5401234567901234,1620,324
chartqa_train_0005,3,0.578533160909305,0.49691358024691357,1620,324
chartqa_train_0005,4,0.6968541000089574,0.5833333333333334,1620,324
chartqa_train_0005,5,0.7810765165745646,0.7098765432098766,1620,324
chartqa_train_0005,6,0.6571608044754033,0.6049382716049383,1620,324
chartqa_train_0005,7,0.7582697544172812,0.7067901234567902,1620,324
chartqa_train_0005,8,0.6934549623535609,0.5524691358024691,1620,324
chartqa_train_0005,9,0.7623293513459871,0.6697530864197531,1620,324
chartqa_train_0005,10,0.6400454402531088,0.5679012345679012,1620,324
chartqa_train_0005,11,0.6414910634820223,0.5802469135802469,1620,324
chartqa_train_0005,12,0.7144613976705334,0.5925925925925926,1620,324
chartqa_train_0005,13,0.6500889529751034,0.5061728395061729,1620,324
chartqa_train_0005,14,0.7047450278886597,0.558641975308642,1620,324
chartqa_train_0005,15,0.6716423943786859,0.5030864197530864,1620,324
chartqa_train_0005,16,0.6260959826714496,0.4845679012345679,1620,324
chartqa_train_0005,17,0.6541538481739106,0.45987654320987653,1620,324
chartqa_train_0005,18,0.7269605881554323,0.5833333333333334,1620,324
chartqa_train_0005,19,0.7465331071540176,0.5401234567901234,1620,324
chartqa_train_0005,20,0.7244702016498589,0.5308641975308642,1620,324
chartqa_train_0005,21,0.6916336800023545,0.5092592592592593,1620,324
chartqa_train_0005,22,0.7298610528771343,0.5617283950617284,1620,324
chartqa_train_0005,23,0.7098430499708119,0.5925925925925926,1620,324
chartqa_train_0005,24,0.7352018269509406,0.6049382716049383,1620,324
chartqa_train_0005,25,0.7133670420094714,0.5555555555555556,1620,324
chartqa_train_0005,26,0.7511359265601257,0.6666666666666666,1620,324
chartqa_train_0005,27,,0.17901234567901234,1620,324
chartqa_train_0009,0,0.5429974757599276,0.4909090909090909,1377,275
chartqa_train_0009,1,0.516486365193787,0.4763636363636364,1377,275
chartqa_train_0009,2,0.6937094663489428,0.6472727272727272,1377,275
chartqa_train_0009,3,0.5044485699317979,0.5781818181818181,1377,275
chartqa_train_0009,4,0.7159022536454244,0.5854545454545454,1377,275
chartqa_train_0009,5,0.7771493164097344,0.7454545454545455,1377,275
chartqa_train_0009,6,0.6931018084795908,0.6436363636363637,1377,275
chartqa_train_0009,7,0.6966455621686524,0.5963636363636363,1377,275
chartqa_train_0009,8,0.5452939111773082,0.4218181818181818,1377,275
chartqa_train_0009,9,0.7175984415948078,0.5854545454545454,1377,275
chartqa_train_0009,10,0.48171374275369394,0.44727272727272727,1377,275
chartqa_train_0009,11,0.4883245020350188,0.48,1377,275
chartqa_train_0009,12,0.5880002974161607,0.48363636363636364,1377,275
chartqa_train_0009,13,0.5434423011896004,0.4581818181818182,1377,275
chartqa_train_0009,14,0.6195670995519891,0.48727272727272725,1377,275
chartqa_train_0009,15,0.5382007851927681,0.43636363636363634,1377,275
chartqa_train_0009,16,0.50842567883524,0.38181818181818183,1377,275
chartqa_train_0009,17,0.5373618057713068,0.3781818181818182,1377,275
chartqa_train_0009,18,0.5690081489969416,0.3890909090909091,1377,275
chartqa_train_0009,19,0.47576284842473404,0.36727272727272725,1377,275
chartqa_train_0009,20,0.6253263936201717,0.4727272727272727,1377,275
chartqa_train_0009,21,0.5525312313975709,0.49818181818181817,1377,275
chartqa_train_0009,22,0.6275027149187296,0.5818181818181818,1377,275
chartqa_train_0009,23,0.6243107367530224,0.5527272727272727,1377,275
chartqa_train_0009,24,0.6393333326937384,0.5818181818181818,1377,275
chartqa_train_0009,25,0.668127840594033,0.5454545454545454,1377,275
chartqa_train_0009,26,0.7706889844877052,0.6690909090909091,1377,275
chartqa_train_0009,27,,0.2109090909090909,1377,275
chartqa_train_0010,0,0.6406552623016414,0.5642458100558659,1793,358
chartqa_train_0010,1,0.5758406544255884,0.46368715083798884,1793,358
chartqa_train_0010,2,0.635760799123593,0.6145251396648045,1793,358
chartqa_train_0010,3,0.4505780537176958,0.48044692737430167,1793,358
chartqa_train_0010,4,0.7105255647774062,0.5837988826815642,1793,358
chartqa_train_0010,5,0.7918763136244982,0.723463687150838,1793,358
chartqa_train_0010,6,0.6456076672765682,0.5754189944134078,1793,358
chartqa_train_0010,7,0.7050075628244072,0.664804469273743,1793,358
chartqa_train_0010,8,0.7098143364804063,0.5642458100558659,1793,358
chartqa_train_0010,9,0.7889598210326778,0.6759776536312849,1793,358
chartqa_train_0010,10,0.658962311069446,0.5502793296089385,1793,358
chartqa_train_0010,11,0.6579043388372546,0.6005586592178771,1793,358
chartqa_train_0010,12,0.6696095459308447,0.61731843575419,1793,358
chartqa_train_0010,13,0.5806279349033904,0.4553072625698324,1793,358
chartqa_train_0010,14,0.6409760699564429,0.5754189944134078,1793,358
chartqa_train_0010,15,0.6255450368723134,0.5418994413407822,1793,358
chartqa_train_0010,16,0.6934288589629425,0.5558659217877095,1793,358
chartqa_train_0010,17,0.6905861572276835,0.5782122905027933,1793,358
chartqa_train_0010,18,0.6941074964405554,0.5558659217877095,1793,358
chartqa_train_0010,19,0.6852588198683645,0.49441340782122906,1793,358
chartqa_train_0010,20,0.7241128015708171,0.5893854748603352,1793,358
chartqa_train_0010,21,0.7441256679679382,0.61731843575419,1793,358
chartqa_train_0010,22,0.7786712056956543,0.6815642458100558,1793,358
chartqa_train_0010,23,0.7105507325843109,0.6145251396648045,1793,358
chartqa_train_0010,24,0.7520529926027623,0.6620111731843575,1793,358
chartqa_train_0010,25,0.7395431640329387,0.6005586592178771,1793,358
chartqa_train_0010,26,0.776755056904339,0.6731843575418994,1793,358
chartqa_train_0010,27,,0.20391061452513967,1793,358
chartqa_train_0012,0,0.5542038861001487,0.47017543859649125,1429,285
chartqa_train_0012,1,0.5139526638055951,0.42105263157894735,1429,285
chartqa_train_0012,2,0.7129584326449436,0.5929824561403508,1429,285
chartqa_train_0012,3,0.6805494224870884,0.5719298245614035,1429,285
chartqa_train_0012,4,0.7402606930584931,0.6456140350877193,1429,285
chartqa_train_0012,5,0.7965870902321167,0.7403508771929824,1429,285
chartqa_train_0012,6,0.687888268775442,0.6280701754385964,1429,285
chartqa_train_0012,7,0.6962410236670289,0.6666666666666666,1429,285
chartqa_train_0012,8,0.7252336542335815,0.6666666666666666,1429,285
chartqa_train_0012,9,0.7778635161632071,0.6842105263157895,1429,285
chartqa_train_0012,10,0.6210812573570753,0.6210526315789474,1429,285
chartqa_train_0012,11,0.723453073971874,0.7052631578947368,1429,285
chartqa_train_0012,12,0.7123627195747836,0.6982456140350877,1429,285
chartqa_train_0012,13,0.6874433125759317,0.6526315789473685,1429,285
chartqa_train_0012,14,0.6928930119514184,0.6035087719298246,1429,285
chartqa_train_0012,15,0.5868772910031949,0.6070175438596491,1429,285
chartqa_train_0012,16,0.7640004841206104,0.6912280701754386,1429,285
chartqa_train_0012,17,0.7169126755767067,0.5894736842105263,1429,285
chartqa_train_0012,18,0.7633205227559268,0.6877192982456141,1429,285
chartqa_train_0012,19,0.6807126643486804,0.6526315789473685,1429,285
chartqa_train_0012,20,0.6665277175087418,0.5894736842105263,1429,285
chartqa_train_0012,21,0.7547243298130772,0.6210526315789474,1429,285
chartqa_train_0012,22,0.7094766909991882,0.6070175438596491,1429,285
chartqa_train_0012,23,0.7014868908024765,0.6350877192982456,1429,285
chartqa_train_0012,24,0.7501880256921043,0.6807017543859649,1429,285
chartqa_train_0012,25,0.7416606773235264,0.6280701754385964,1429,285
chartqa_train_0012,26,0.7961077638601053,0.6771929824561403,1429,285
chartqa_train_0012,27,0.5746823414350657,0.5614035087719298,1429,285
chartqa_train_0014,0,0.5925705442616349,0.5403508771929825,1429,285
chartqa_train_0014,1,0.5377835721925827,0.4842105263157895,1429,285
chartqa_train_0014,2,0.6991019102049726,0.6210526315789474,1429,285
chartqa_train_0014,3,0.5876125633354089,0.5578947368421052,1429,285
chartqa_train_0014,4,0.7515730681375459,0.6491228070175439,1429,285
chartqa_train_0014,5,0.7666039398586278,0.7543859649122807,1429,285
chartqa_train_0014,6,0.624990580389232,0.6210526315789474,1429,285
chartqa_train_0014,7,0.6852669940416111,0.6807017543859649,1429,285
chartqa_train_0014,8,0.6672345356355531,0.624561403508772,1429,285
chartqa_train_0014,9,0.7373352739033966,0.6526315789473685,1429,285
chartqa_train_0014,10,0.6359003862622374,0.6491228070175439,1429,285
chartqa_train_0014,11,0.6581089951174713,0.6140350877192983,1429,285
chartqa_train_0014,12,0.7376986554877546,0.6666666666666666,1429,285
chartqa_train_0014,13,0.7033264754960202,0.6105263157894737,1429,285
chartqa_train_0014,14,0.7294273845783783,0.6456140350877193,1429,285
chartqa_train_0014,15,0.6912578614291109,0.631578947368421,1429,285
chartqa_train_0014,16,0.7341796235924901,0.5894736842105263,1429,285
chartqa_train_0014,17,0.6494828848665644,0.5403508771929825,1429,285
chartqa_train_0014,18,0.6874130770790586,0.5859649122807018,1429,285
chartqa_train_0014,19,0.7168392679812907,0.6070175438596491,1429,285
chartqa_train_0014,20,0.7028660999710121,0.6280701754385964,1429,285
chartqa_train_0014,21,0.747493896548864,0.624561403508772,1429,285
chartqa_train_0014,22,0.6914551778428275,0.5754385964912281,1429,285
chartqa_train_0014,23,0.6794144941788864,0.5929824561403508,1429,285
chartqa_train_0014,24,0.7214179184332307,0.6175438596491228,1429,285
chartqa_train_0014,25,0.7066371703001061,0.5859649122807018,1429,285
chartqa_train_0014,26,0.6761931461016356,0.5894736842105263,1429,285
chartqa_train_0014,27,,0.24561403508771928,1429,285
chartqa_train_0015,0,0.5512064063064295,0.5298245614035088,1429,285
chartqa_train_0015,1,0.5423364270975423,0.47017543859649125,1429,285
chartqa_train_0015,2,0.6868864632235983,0.6491228070175439,1429,285
chartqa_train_0015,3,0.5137099414009016,0.4807017543859649,1429,285
chartqa_train_0015,4,0.6761287584796742,0.5824561403508772,1429,285
chartqa_train_0015,5,0.7490754529780912,0.6771929824561403,1429,285
chartqa_train_0015,6,0.5905760824922105,0.5508771929824562,1429,285
chartqa_train_0015,7,0.6033973170286957,0.5543859649122806,1429,285
chartqa_train_0015,8,0.5128271803889084,0.39649122807017545,1429,285
chartqa_train_0015,9,0.6493297278874328,0.45614035087719296,1429,285
chartqa_train_0015,10,0.4400391551474523,0.4,1429,285
chartqa_train_0015,11,0.4074938092809294,0.4666666666666667,1429,285
chartqa_train_0015,12,0.5338569658770976,0.44912280701754387,1429,285
chartqa_train_0015,13,0.39667938539268544,0.312280701754386,1429,285
chartqa_train_0015,14,0.5001580830085869,0.41403508771929826,1429,285
chartqa_train_0015,15,0.4059651684965227,0.3929824561403509,1429,285
chartqa_train_0015,16,0.3794229549621325,0.312280701754386,1429,285
chartqa_train_0015,17,0.447014815911525,0.3824561403508772,1429,285
chartqa_train_0015,18,0.5404616711150374,0.43859649122807015,1429,285
chartqa_train_0015,19,0.42106364821604353,0.4105263157894737,1429,285
chartqa_train_0015,20,0.5208417804057048,0.4245614035087719,1429,285
chartqa_train_0015,21,0.4804239483327013,0.41754385964912283,1429,285
chartqa_train_0015,22,0.5552312044634014,0.45964912280701753,1429,285
chartqa_train_0015,23,0.5168974522988278,0.45263157894736844,1429,285
