sample_id,layer,entropy,n_img
chartqa_train_0005,5,0.902423620223999,1620
chartqa_train_0005,6,0.9149828553199768,1620
chartqa_train_0005,7,0.9040406942367554,1620
chartqa_train_0005,8,0.8984484672546387,1620
chartqa_train_0005,9,0.8468454480171204,1620
chartqa_train_0005,10,0.9189987778663635,1620
chartqa_train_0005,11,0.8897170424461365,1620
chartqa_train_0005,12,0.8827134370803833,1620
chartqa_train_0005,13,0.9028323888778687,1620
chartqa_train_0005,14,0.8438099026679993,1620
chartqa_train_0005,15,0.9108080863952637,1620
chartqa_train_0005,16,0.8644024729728699,1620
chartqa_train_0005,17,0.8546203970909119,1620
chartqa_train_0005,18,0.8702277541160583,1620
chartqa_train_0005,19,0.7894700169563293,1620
chartqa_train_0005,20,0.8186281323432922,1620
chartqa_train_0005,21,0.8227213621139526,1620
chartqa_train_0005,22,0.7761813402175903,1620
chartqa_train_0005,23,0.8661340475082397,1620
chartqa_train_0005,24,0.8959389328956604,1620
chartqa_train_0005,25,0.8601848483085632,1620
chartqa_train_0005,26,0.8659563660621643,1620
chartqa_train_0005,27,,1620
chartqa_train_0009,0,0.9153882265090942,1377
chartqa_train_0009,1,0.8943381905555725,1377
chartqa_train_0009,2,0.9055477380752563,1377
chartqa_train_0009,3,0.9231252670288086,1377
chartqa_train_0009,4,0.8951998353004456,1377
chartqa_train_0009,5,0.8856623768806458,1377
chartqa_train_0009,6,0.9205416440963745,1377
chartqa_train_0009,7,0.9022050499916077,1377
chartqa_train_0009,8,0.8700302839279175,1377
chartqa_train_0009,9,0.8746728897094727,1377
chartqa_train_0009,10,0.9078447222709656,1377
chartqa_train_0009,11,0.8172954320907593,1377
chartqa_train_0009,12,0.8555381298065186,1377
chartqa_train_0009,13,0.9034819602966309,1377
chartqa_train_0009,14,0.7643989324569702,1377
chartqa_train_0009,15,0.8396766185760498,1377
chartqa_train_0009,16,0.8015440702438354,1377
chartqa_train_0009,17,0.8099268078804016,1377
chartqa_train_0009,18,0.8325032591819763,1377
chartqa_train_0009,19,0.7960187196731567,1377
chartqa_train_0009,20,0.8075612187385559,1377
chartqa_train_0009,21,0.7950476408004761,1377
chartqa_train_0009,22,0.7390786409378052,1377
chartqa_train_0009,23,0.8227386474609375,1377
chartqa_train_0009,24,0.907289981842041,1377
chartqa_train_0009,25,0.8541558384895325,1377
chartqa_train_0009,26,0.8636246919631958,1377
chartqa_train_0009,27,,1377
chartqa_train_0010,0,0.9133514761924744,1793
chartqa_train_0010,1,0.9046206474304199,1793
chartqa_train_0010,2,0.9430241584777832,1793
chartqa_train_0010,3,0.9474743604660034,1793
chartqa_train_0010,4,0.8590061068534851,1793
chartqa_train_0010,5,0.9122411608695984,1793
chartqa_train_0010,6,0.911453127861023,1793
chartqa_train_0010,7,0.900214433670044,1793
chartqa_train_0010,8,0.8515753746032715,1793
chartqa_train_0010,9,0.861997663974762,1793
chartqa_train_0010,10,0.9037502408027649,1793
chartqa_train_0010,11,0.9049070477485657,1793
chartqa_train_0010,12,0.9024161696434021,1793
chartqa_train_0010,13,0.9258684515953064,1793
chartqa_train_0010,14,0.8253424763679504,1793
chartqa_train_0010,15,0.8489536643028259,1793
chartqa_train_0010,16,0.8150374889373779,1793
chartqa_train_0010,17,0.8588865995407104,1793
chartqa_train_0010,18,0.863243043422699,1793
chartqa_train_0010,19,0.7943589687347412,1793
chartqa_train_0010,20,0.8478319048881531,1793
chartqa_train_0010,21,0.8658402562141418,1793
chartqa_train_0010,22,0.8132438659667969,1793
chartqa_train_0010,23,0.8573155999183655,1793
chartqa_train_0010,24,0.9011457562446594,1793
chartqa_train_0010,25,0.8448339700698853,1793
chartqa_train_0010,26,0.8488662838935852,1793
chartqa_train_0010,27,,1793
chartqa_train_0012,0,0.9074992537498474,1429
chartqa_train_0012,1,0.9114446043968201,1429
chartqa_train_0012,2,0.9209914207458496,1429
chartqa_train_0012,3,0.920242428779602,1429
chartqa_train_0012,4,0.8554664254188538,1429
chartqa_train_0012,5,0.8878385424613953,1429
chartqa_train_0012,6,0.8872432708740234,1429
chartqa_train_0012,7,0.8780515789985657,1429
chartqa_train_0012,8,0.8891821503639221,1429
